campaign.id,campaign.name,ad_group.id,ad_group.name,customer.id,customer.descriptive_name,campaign.advertising_channel_type,metrics.impressions,metrics.clicks,metrics.cost_micros,metrics.ctr,average_cpm_micros,average_cpc_micros,metrics.conversions,metrics.conversions_value,segments.date,platform
3000000001,New Arrivals High Intent - Value Props VIDEO,4000000001,Exact 0,1234567890,Northstar Retail,VIDEO,236345,4582,3983652744,0.01939,16855244,869414,154,21278.18,2024-11-01,google
3000000001,Black Friday Retargeting - Top Sellers SEARCH,4000000002,Exact 1,1234567890,Northstar Retail,SEARCH,115329,1451,1819695959,0.01258,15778303,1254098,62,3269.33,2024-11-02,google
3000000001,Holiday Prospecting - Top Sellers VIDEO,4000000003,Asset Group 2,1234567890,Northstar Retail,VIDEO,637411,38620,7584571728,0.06059,11899029,196390,2103,175756.38,2024-11-03,google
3000000001,Holiday Retargeting - Core Terms SHOPPING,4000000004,Broad 3,1234567890,Northstar Retail,SHOPPING,175356,3900,8098775010,0.02224,46184761,2076609,61,4204.99,2024-11-04,google
3000000001,Holiday High Intent - Top Sellers SEARCH,4000000005,Phrase 4,1234567890,Northstar Retail,SEARCH,317562,9773,4074133531,0.03078,12829411,416876,80,6770.40,2024-11-05,google
3000000001,New Arrivals High Intent - Gift Guide SEARCH,4000000006,Phrase 5,1234567890,Northstar Retail,SEARCH,125835,5292,2457742376,0.04206,19531469,464426,348,20180.15,2024-11-06,google
3000000001,Black Friday Lapsed Customers - Promo Push DISPLAY,4000000007,Phrase 6,1234567890,Northstar Retail,DISPLAY,407174,6949,8203326075,0.01707,20146979,1180505,264,31124.83,2024-11-07,google
3000000001,Cyber Week Lookalike - Promo Push SEARCH,4000000008,Exact 7,1234567890,Northstar Retail,SEARCH,342939,20308,4213380769,0.05922,12286094,207474,233,17437.56,2024-11-08,google
3000000001,New Arrivals Retargeting - Broad PERFORMANCE_MAX,4000000009,Product Group 8,1234567890,Northstar Retail,PERFORMANCE_MAX,128941,405,4709846036,0.00314,36527141,11629249,19,1458.41,2024-11-09,google
3000000001,Black Friday Cart Abandoners - Core Terms DISPLAY,4000000010,Asset Group 0,1234567890,Northstar Retail,DISPLAY,180617,7061,2516870203,0.03909,13934847,356447,529,40860.81,2024-11-10,google
3000000002,Loyalty Lapsed Customers - Gift Guide VIDEO,4000000011,Broad 1,1234567890,Northstar Retail,VIDEO,394099,17487,7313320200,0.04437,18557064,418215,1254,105728.65,2024-11-11,google
3000000002,New Arrivals Lapsed Customers - Value Props VIDEO,4000000012,Broad 2,1234567890,Northstar Retail,VIDEO,95939,4132,853244178,0.04307,8893611,206497,206,13103.21,2024-11-12,google
3000000002,Black Friday Lookalike - Promo Push SHOPPING,4000000013,Asset Group 3,1234567890,Northstar Retail,SHOPPING,449400,8600,3339453118,0.01914,7430915,388309,343,22546.54,2024-11-13,google
3000000002,Holiday Retargeting - Gift Guide VIDEO,4000000014,Broad 4,1234567890,Northstar Retail,VIDEO,705158,35840,38700983031,0.05083,54882711,1079827,1353,171151.31,2024-11-14,google
3000000002,New Arrivals Retargeting - Gift Guide SHOPPING,4000000015,Phrase 5,1234567890,Northstar Retail,SHOPPING,679781,37626,26329154728,0.05535,38731819,699760,2165,190096.54,2024-11-15,google
3000000002,Loyalty High Intent - Value Props SHOPPING,4000000016,Asset Group 6,1234567890,Northstar Retail,SHOPPING,725319,40180,16465175455,0.05540,22700599,409785,2081,186752.53,2024-11-16,google
3000000002,Loyalty Prospecting - Broad DISPLAY,4000000017,Exact 7,1234567890,Northstar Retail,DISPLAY,306041,17905,6290450705,0.05850,20554274,351324,928,37913.59,2024-11-17,google
3000000002,Evergreen Prospecting - Core Terms DISPLAY,4000000018,Exact 8,1234567890,Northstar Retail,DISPLAY,325491,24867,11694623009,0.07640,35929175,470287,335,15661.00,2024-11-18,google
3000000002,Black Friday Prospecting - Gift Guide SHOPPING,4000000019,Broad 0,1234567890,Northstar Retail,SHOPPING,740601,3372,24118130363,0.00455,32565619,7152470,134,7796.71,2024-11-19,google
3000000002,Holiday Lookalike - Top Sellers SHOPPING,4000000020,Product Group 1,1234567890,Northstar Retail,SHOPPING,526508,26108,7633331042,0.04959,14498034,292375,668,75391.95,2024-11-20,google
3000000003,Cyber Week Lapsed Customers - Gift Guide PERFORMANCE_MAX,4000000021,Broad 2,1234567890,Northstar Retail,PERFORMANCE_MAX,89163,792,4364029919,0.00888,48944404,5510139,20,1094.96,2024-11-21,google
3000000003,Loyalty Cart Abandoners - Broad DISPLAY,4000000022,Exact 3,1234567890,Northstar Retail,DISPLAY,91488,6313,651238654,0.06901,7118296,103158,106,14755.99,2024-11-22,google
3000000003,Cyber Week Cart Abandoners - Value Props SEARCH,4000000023,Broad 4,1234567890,Northstar Retail,SEARCH,69335,3201,3523264213,0.04617,50815089,1100676,88,10722.00,2024-11-23,google
3000000003,Cyber Week Lapsed Customers - Value Props VIDEO,4000000024,Exact 5,1234567890,Northstar Retail,VIDEO,261902,14120,5279411846,0.05391,20157967,373896,1015,146950.58,2024-11-24,google
3000000003,Evergreen High Intent - Top Sellers VIDEO,4000000025,Asset Group 6,1234567890,Northstar Retail,VIDEO,748841,20031,18518457118,0.02675,24729491,924490,1019,121199.10,2024-11-25,google
3000000003,Black Friday High Intent - Core Terms DISPLAY,4000000026,Product Group 7,1234567890,Northstar Retail,DISPLAY,81435,3571,3964268459,0.04385,48680155,1110128,159,11564.42,2024-11-26,google
3000000003,Black Friday Retargeting - Broad SEARCH,4000000027,Broad 8,1234567890,Northstar Retail,SEARCH,330490,3478,15227513108,0.01052,46075564,4378238,28,2393.80,2024-11-27,google
3000000003,New Arrivals Prospecting - Gift Guide VIDEO,4000000028,Product Group 0,1234567890,Northstar Retail,VIDEO,28820,1886,1094260294,0.06543,37968782,580202,112,11573.79,2024-11-28,google
3000000003,New Arrivals High Intent - Broad VIDEO,4000000029,Broad 1,1234567890,Northstar Retail,VIDEO,301109,20564,11609485085,0.06830,38555756,564554,889,38187.75,2024-11-29,google
3000000003,Cyber Week High Intent - Promo Push SEARCH,4000000030,Product Group 2,1234567890,Northstar Retail,SEARCH,527266,27286,25375291424,0.05175,48126167,929975,379,25260.91,2024-11-30,google
3000000004,Black Friday Lapsed Customers - Core Terms PERFORMANCE_MAX,4000000031,Exact 3,1234567890,Northstar Retail,PERFORMANCE_MAX,238400,15878,10939765599,0.06660,45888279,688989,730,35945.62,2024-11-01,google
3000000004,Evergreen Lookalike - Value Props SHOPPING,4000000032,Broad 4,1234567890,Northstar Retail,SHOPPING,367443,7383,13139696817,0.02009,35759823,1779723,207,12661.73,2024-11-02,google
3000000004,New Arrivals Cart Abandoners - Promo Push SHOPPING,4000000033,Asset Group 5,1234567890,Northstar Retail,SHOPPING,139154,4422,2943729734,0.03178,21154474,665701,324,45946.14,2024-11-03,google
3000000004,Cyber Week High Intent - Core Terms SEARCH,4000000034,Broad 6,1234567890,Northstar Retail,SEARCH,294588,3790,14312888750,0.01287,48586123,3776488,54,5234.57,2024-11-04,google
